publishedTime,simpleText,votes,author,isReply,isHearted,isPinned,isPaid,paidAmount,isSponsor,sponsorshipMonths
23-02-2024,ये सज्जन को हिंदू राष्ट्र बनने में भी आपत्ति है। संविधान की कुछ ज्यादा चिंता करते है। क्या तकलीफ है इस सज्जन को ।,0,@jadejajayendrasinh6173,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,the problem with some of the rishi's in india are they think they are god,0,@vishalsewratan-yz7eu,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,tu hi chal akela,0,@hinditales5731,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,"Pran pratistha murti ki ki jati hai na ki mandir ki  Aur dusri baat jab 70 saal se hamare ram ji ko gali , log mare gaye , banwas katna pada , khood ka proof dena pada and etc. Tab kaha the aap log",0,@mainfocus01,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,"One rational guru, hard to come by such person. I might agree a lot of what he believes but i respect his stance",0,@unknown00808,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,अब इसकी जुबान ज्ञानवापी पे नहीं खुल रही। हिंदुओं का पुरोधा बनकर भी secularism की बड़ी चिंता है इसे।,0,@chandrakant1837,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,"Wo isiliye ki  Shankaracharya ji k Muslim dharmguru k sath bhaichara hai isiliye muh nahi khula , ek Shankaracharya to Islam ko hi sanatan bata rahe the bahut yaarana hai",0,@abhilashtiwari4960,TRUE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,So u take rest I know what is ur problem u wanted to be give a first preference ..but this will not what u did for Ram ...u not fought for Ram mandir so shit ur .mouth,0,@cutebabyvedikasp9496,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,Aap ke bharose baithe rehte to mandir  kabhi ban hi nahi pata...aap apne math me baitha rahe chahe hindu bahar marta rahe..jab koi shastra sunne wala hi nahi bachega to kise gyan doge ???,0,@deepaknegi5333,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,Bhot sare saint h kashi ke vidvano ne nikala tha mahurat. ADI SHANKARACHAR ne bhi puja kri thi incomplete mandir m. Garbao greh bn gya ho to pooja ho sakti h padvi ka to samaan krte,0,@Anushka0802,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,"Politician bano🙋‍♂️. Main Temple was built, so Prana Pratista can be done. Veatige works can be done later. Many small temples of different dieties will be contructed later in many temples, all over the country, after the main Diety is being worahipped. These people are doing Politics.",0,@avinashbalakrishna1927,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,"Koi insaan rahe na rahe, mandir agley hazaar saal tak rahega",0,@rp19488,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,Aap ki galti nahi prabhu,0,@nietusawant8936,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,Saare Shaastra aapne hi padh liye Hain yaa Jo poojya Saadhu Sant Mahant uss din Pran Pratishtha se jude the unhe bhi kuch pata hai. Aur rahi Daayitva ki Baat to agar aap Mahanubhaavo apna  Daayitva sahi tarah se nibhaate to itna kaal khand nahi lagta iss kaarya ko hone mein aur kisi ki himmat Naa hoti Bhagwaan ke Astitva aur Hindu Aastha par prashna uthane ki. Aapko sirf apne apne Matho se Lena Dena hai. Dharm aur Nyay ki chinta Kahan.,0,@NitinSingh-zv5um,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,Mai kabhi mandir nahi jaata aur ram ka naam nhi leta kyoki Mai ek paapi hu aur unka apmaan nhi karna chata  Bhai agar tu saccha ram bakt hai toh paap kiye bina hi mandir jaana,0,@RARE-mf8yk,TRUE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,guruji modi ji aisa isliye kar rahe h taaki election jeet ske aur wo election jeet jayenge to aur b vivadit mandir dubara apne asli swroop me ajayenge aur aapne aisa karke hinduo ko confuse kar diya isse ho skta h bjp ko kam vote mile aur malechhh musalman fir takatwar ho jaye fir aap shastro ko hath me pakad ke baithe rehna wo shariya le ayenge aap jajiya dena fir ithaas se kuch sikho krishan kutil neeti apnao dharm bachao desh bachao,0,@acchamitra,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,this proves that Modi is doing this for a political game.,0,@asif8208,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,Ram ji logo ke bhav dekhte hai. To unhe to aana hi hai,0,@neetusammi8808,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,"Yaha sabhi Gyani hai, aur aapka gyan kam hai, aapko sankracharya kisne banaya",0,@yashpawar-nw6um,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,Oh shankarachary ji chodo yeh sab baten agar aap yeh sab padenge tho dusra govt aayega aur hum tho mandir janeke liye bhi nahi rahenge  Samjho aur chodo yeh baten  Support the govt and be respectful in all hindus,0,@siddharthsagar7241,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,But mandir ka garbh to pura ho chuka hai. Ye hamesha hota hai agar koi bada mandir ban raha ho to pehle uska garbh aur main part pura hota hai pratishtha hoti hai aur fir us mandir ka vistar hota hai to yahi baat Ram mandir pr laagu kyu nahi karte?,0,@armygirl782,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,"they are the real SME, haar jagah par propaganda chala le bjp walye",0,@RISHABHSINGH-gy3uv,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,Sabse badi bat  ram ji ko unka sthan mil gya agar thodi bhot bhi chuk ho gi hogi to ram ji maff kr denge itne logo ki sradha ko dekh ke bhagwan ki dya se bada koi chij nhi,0,@basantinayak7280,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,andhbhakt ke samne agar bhagwan shri ram bhi ye keh de ki modi ne galat kiya hai ye andhbhakt bhagwan raam ko bhi nautakibaaj kahenge.,0,@keshav5461,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,Shankracharya is correct but andhbhakt will never understand.,0,@ASKILL1GBFGHELLOSITDOWN,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,https://youtu.be/SSLOw_asqIo?si=imbjTLrV7TG9yRsd,0,@yodhad333,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,Jabtak pura banaya tabhi tak tu jindarahaga k kya pata ja k dakhlo,0,@Hitesh-dg7yl,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,500 saal k bad mandir bana usko bhi bolrahahi k puranahi bana to kaise jayei,0,@Hitesh-dg7yl,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,He is the Real Hindu Andhbhakton av v sambhal jao,0,@iitLove786,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,Anti Modi nahi anti sanatan hai ye ise sankrachary kisne bana diya,0,@Sadabaharhindinagne,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,"Aapko bahut gyaan hai, aap bade hain.. toh saheb kshama badan ko chahiye.. Aapko lagta hai kuch galti ho bhi g gayee hai-paap toh nahin hua na.. aap chale jaate.. Kisiki beti ne intercaste marriage karli aur tauji ko pasand nahin aaya woh nahin gaye.. toh kya unhone apna kartavya nibhaya??  Nahin na.. Mandir ban gaya khush hone ki jagah aap toh credit ki ladai ladne lage... doesnt suit your position.  Log hindus ko divide karne mein lage hain aur aap unki chaal sakaar kar rahe hain..",0,@girinandini1372,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,Election a rha na 😂 isliy 22 ko opened ho gai,0,@Criminalyt-hk4ip,FALSE,FALSE,FALSE,FALSE,,FALSE,
19-02-2024,"Ram Temple: Will it boost India's soft power?
 Leave a comment and let us know your thoughts",209,@Firstpost,FALSE,FALSE,TRUE,FALSE,,FALSE,
19-02-2024,"Banking on a temple to boost India's soft power, even the need of discussing it in social media is not very promising for India's future. Religion has to be a personal choice. We don't want religion to be a factor to assert our power anywhere. Rather individuals should assert their power on their individual capabilities , talents and efforts. The same goes for the country. Sriram is always here, with or without the temple. If we can only feel his presence by a temple being built in Ayodhya, then all of us need to go back and study Ramayanam again and this time learn it the right way. Building this temple after all the tragic events that occured in past several hundred years, is historic and is a reason to rejoice for all those who has been waiting for this. Please leave it at that and don't connect it to the country's power.",20,@malinisarovar,TRUE,FALSE,FALSE,FALSE,,FALSE,
19-02-2024,"It's as clear as daylight that the temple is a result of pure vote bank politics. Everything about this temple has been bloodied by our citizens despite their religious orientation.  Is it really worth it ? A national holiday for the central government employees just to attend the Pooja ? All the media attention about the PM being the chief guest isn't it a paid gimmick for the upcoming elections ? Isn't there somewhere we are losing the soul of our constitution that's routed in secularism, equality and unity rooted in diversity ? I guess these are some of the questions  the media should raise.",0,@edwinvarghese9782,TRUE,FALSE,FALSE,FALSE,,FALSE,
19-02-2024,"Brazil has Christ the redeemer, and it is one of the wonders of the world. Tourists flock there with or without the the knowledge that it is dedicated to Christ If a country like Brazil can attract so many tourists, India definitely has the power to bring people from different countries together. People come to see monuments in India built mostly by the mughals, but very few know about the temples and the technology involved in it. The architecture, scriptures, carvings and inscriptions are a great source of knowledge and the South of India has already proved it. It might be new in the north but with the inaguration of Ram Mandir,I feel more people will come to visit temples and will remember India as a place of ancient technology powerhouse  @malinisarovar ",1,@vishalsilam5912,TRUE,FALSE,FALSE,FALSE,,FALSE,
19-02-2024,"Ayodhya was long long due in the ONLY and LARGEST remaining land of an ancient culture and TOLERANT way of life. But if it unites Hindus, pseudos and missionary and monolithic religion nuts will feel threatened. And if the ragtag I. N. D. I. alliance gets any political upper hand, they will try every dirty trick to undermine Ayodhya, the temple, and Ram.",0,@PK-fl1lm,TRUE,FALSE,FALSE,FALSE,,FALSE,
19-02-2024,2 simple letters.. NO..,6,@mubi731,TRUE,FALSE,FALSE,FALSE,,FALSE,
